RecordType,RouteID,RouteName,RouteStatus,RouteColorCode,FetchedDate,FetchedTime
Bus,91,Austin,Planned Reroute,565a5c,8/29/2026,21:00:03
Bus,92,Foster,Planned Reroute,565a5c,8/29/2026,21:00:03
Bus,93,California/Dodge,Planned Reroute,565a5c,8/29/2026,21:00:03
Bus,94,California,Normal Service,565a5c,8/29/2026,21:00:03
Bus,95,95th,Normal Service,414145,8/29/2026,21:00:03
Bus,96,Lunt,Planned Reroute,565a5c,8/29/2026,21:00:03
Bus,97,Skokie,Normal Service,565a5c,8/29/2026,21:00:03
Bus,100,Jeffery Manor Express,Normal Service,ffffff,8/29/2026,21:00:03
Bus,103,West 103rd,Normal Service,565a5c,8/29/2026,21:00:03
Bus,106,East 103rd,Normal Service,565a5c,8/29/2026,21:00:03
Bus,108,Halsted/95th,Normal Service,ffffff,8/29/2026,21:00:03
Bus,111,111th/King Drive,Normal Service,565a5c,8/29/2026,21:00:03
Bus,111A,Pullman Shuttle,Normal Service,565a5c,8/29/2026,21:00:03
Bus,112,Vincennes/111th,Normal Service,565a5c,8/29/2026,21:00:03
Bus,115,Pullman/115th,Planned Reroute,565a5c,8/29/2026,21:00:03
Bus,119,Michigan/119th,Normal Service,565a5c,8/29/2026,21:00:03
Bus,120,Ogilvie/Streeterville Express,Bus Stop Note,ffffff,8/29/2026,21:00:03
Bus,121,Union/Streeterville Express,Bus Stop Note,ffffff,8/29/2026,21:00:03
Bus,124,Navy Pier,Planned Reroute,565a5c,8/29/2026,21:00:03
Bus,125,Water Tower Express,Planned Reroute,ffffff,8/29/2026,21:00:03
Bus,126,Jackson,Planned Reroute,565a5c,8/29/2026,21:00:03
Bus,128,Soldier Field Express,Normal Service,ffffff,8/29/2026,21:00:03
Bus,130,Museum Campus,Normal Service,ffffff,8/29/2026,21:00:03
Bus,134,Stockton/LaSalle Express,Normal Service,ffffff,8/29/2026,21:00:03
Bus,135,Clarendon/LaSalle Express,Normal Service,ffffff,8/29/2026,21:00:03
Bus,136,Sheridan/LaSalle Express,Normal Service,ffffff,8/29/2026,21:00:03
Bus,143,Stockton/Michigan Express,Normal Service,ffffff,8/29/2026,21:00:03
Bus,146,Inner Lake Shore/Michigan Express,Planned Reroute,b71234,8/29/2026,21:00:03
Bus,147,Outer DuSable Lake Shore Express,Normal Service,b71234,8/29/2026,21:00:03
Bus,148,Clarendon/Michigan Express,Planned Reroute,ffffff,8/29/2026,21:00:03
Bus,151,Sheridan,Normal Service,565a5c,8/29/2026,21:00:03
Bus,152,Addison,Normal Service,565a5c,8/29/2026,21:00:03
Bus,155,Devon,Normal Service,565a5c,8/29/2026,21:00:03
Bus,156,LaSalle,Normal Service,565a5c,8/29/2026,21:00:03
Bus,157,Streeterville/Taylor,Planned Reroute,565a5c,8/29/2026,21:00:03
Bus,165,West 65th,Normal Service,ffffff,8/29/2026,21:00:03
Bus,169,69th/UPS Express,Normal Service,ffffff,8/29/2026,21:00:03
Bus,171,U. of Chicago/Hyde Park,Normal Service,565a5c,8/29/2026,21:00:03
Bus,172,U. of Chicago/Kenwood,Planned Reroute,565a5c,8/29/2026,21:00:03
Bus,192,U. of Chicago Hospitals Express,Planned Reroute,ffffff,8/29/2026,21:00:03
Bus,201,Central/Ridge,Normal Service,565a5c,8/29/2026,21:00:03
Bus,206,Evanston Circulator,Normal Service,ffffff,8/29/2026,21:00:03
Rail,Red,Red Line,Normal Service,c60c30,8/29/2026,21:00:04
Rail,Blue,Blue Line,Planned Work w/Part Closure,00a1de,8/29/2026,21:00:04
Rail,Brn,Brown Line,Normal Service,62361b,8/29/2026,21:00:04
Rail,G,Green Line,Special Note,009b3a,8/29/2026,21:00:04
Rail,Org,Orange Line,Normal Service,f9461c,8/29/2026,21:00:04
Rail,Pink,Pink Line,Normal Service,e27ea6,8/29/2026,21:00:04
Rail,P,Purple Line,Added Service,522398,8/29/2026,21:00:04
Rail,Y,Yellow Line,Added Service,f9e300,8/29/2026,21:00:04
Systemwide,Systemwide,All Routes,Normal Service,0,8/29/2026,21:00:05
Systemwide,Bus,All Bus Routes,Service Change,0,8/29/2026,21:00:05
Systemwide,Train,All Train Routes,Normal Service,0,8/29/2026,21:00:05
